STUDENT_ID,LAST_NAME,FIRST_NAME,EMAIL_ADDRESS,PHONE_NUMBER,COURSE_NUMBER,ASSIGNMENT_NUMBER,SUBMISSION_DATE,GRADE
1,Potter,Harry,harry.potter@pasadena.edu,123-456-7890,CSC101,1,2023-02-15,A
1,Potter,Harry,harry.potter@pasadena.edu,123-456-7890,CSC101,2,2023-02-15,A
2,Granger,Hermione,hermione.granger@pasadena.edu,987-654-3210,CSC102,2,2023-02-15,A
3,Weasley,Ron,ron.weasley@pasadena.edu,555-555-5555,CSC101,2,2023-02-15,A
4,Stark,Tony,tony.stark@pasadena.edu,111-222-3333,CSC102,2,2023-02-15,B
5,Rogers,Steve,steve.rogers@pasadena.edu,444-444-4444,CSC103,2,2023-02-15,C
6,Parker,Peter,peter.parker@pasadena.edu,999-999-9999,CSC103,1,2023-02-15,A
7,Skywalker,Luke,luke.skywalker@pasadena.edu,777-777-7777,CSC101,2,2023-02-15,A
8,Leia,Organa,leia.organa@pasadena.edu,888-888-8888,CSC101,2,2023-02-15,B
9,Kenobi,Obi-Wan,obiwan.kenobi@pasadena.edu,666-666-6666,CSC102,2,2023-02-15,C
10,Poppins,Mary,mary.poppins@pasadena.edu,222-333-4444,CSC103,2,2023-02-15,A
11,Black,Sirius,sirius.black@pasadena.edu,777-888-9999,CSC101,1,2023-01-15,C
12,Lupin,Remus,remus.lupin@pasadena.edu,555-666-7777,CSC102,1,2023-01-15,B
13,McGonagall,Minerva,minerva.mcgonagall@pasadena.edu,111-222-3333,CSC101,1,2023-01-15,A
14,Hagrid,Rubeus,rubeus.hagrid@pasadena.edu,444-555-6666,CSC102,1,2023-01-15,B
15,Dumbledore,Albus,albus.dumbledore@pasadena.edu,999-888-7777,CSC103,1,2023-01-15,A
